"","termID","term","measurementTypeID","measurementType","dataType","originalField_AIM","originalField_NRSA","originalField_PIBO","originalField_AREMP","originalUnit_AIM","originalUnit_NRSA","originalUnit_PIBO","originalUnit_AREMP","originalDataType_AIM","originalDataType_NRSA","originalDataType_PIBO","originalDataType_AREMP","methodCollection_AIM","methodCollection_NRSA","methodCollection_PIBO","methodCollection_AREMP","methodAnalysis_AIM","methodAnalysis_NRSA","methodAnalysis_PIBO","methodAnalysis_AREMP","entity","definition","minrange","maxrange","units","sourcedefinition","unboundeddefinition","enumerateddomain","NAorBlankcell","NAdefinition","examples","standard","noteAndConventions"
"1",201,"verbatimLocationID",NA,"","String","PointID","SITE_ID","SiteID","SITE_ID",NA,NA,NA,NA,"String","String","Integer","String",NA,NA,NA,NA,NA,NA,NA,NA,"Location","The verbatim location ID from the originating source dataset assigned by the monitoring program.",NA,NA,NA,"Producer defined","Unbounded list of alphanumeric text",NA,NA,NA,"88693; WtR563","Producer defined","verbatimLocationID is the unique identifiers from the source datasets all converted to data type string. Maintaining the link to location and event identifiers from the source datasets. "
"2",205,"siteSelectionType",NA,"","String","PointSelectionType",NA,"Project",NA,NA,NA,NA,NA,"String",NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location","The type of site selection used according to the program.",NA,NA,NA,"Producer defined",NA,"y",NA,"Site selection not known or reported by the program.","Random; Targeted","Producer defined",""
"3",206,"waterBody",NA,"","String","StreamName",NA,"Stream",NA,NA,NA,NA,NA,"String",NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location","The name of the water body in which the location occurs.",NA,NA,NA,"Producer defined","Unbounded list of text",NA,"blank cell","Water body name not reported in the original dataset.","Rock Creek; SALT CREEK","Darwin Core",""
"4",301,"verbatimEventID",NA,"","String","EvaluationID","UID","RchID","site_survey_id",NA,NA,NA,NA,"String","String","Integer","String",NA,NA,NA,NA,NA,NA,NA,NA,"Event","The verbatim event ID from the originating source dataset assigned by the program.",NA,NA,NA,"Producer defined","Unbounded list of alphanumeric text",NA,NA,"Event ID was not included or reported in the source dataset.","FFFE9F28-60DB-40C0-B9C0-4AFC753A9880; 10002","Producer defined","verbatimEventID are the unique identifiers from the source datasets all convert to data type string. By maintaining the link to location and event identifiers from the source datasets, the data user can trace information back to the source."
"5",302,"eventDate",NA,"","Date","FieldEvalDate","DATE_COL","SampDate","survey_date","m/d/yyyy",NA,NA,NA,"Date","Date","Date","Date",NA,NA,NA,NA,NA,NA,NA,NA,"Event","The calendar date of the event from the source data.",36666,44124,"calendar date (yyyy-mm-dd)","Producer defined",NA,NA,NA,"Source data from AREMP do not contain month or day, so no there is no eventDate for those entries.","8/2/2014","Darwin Core",""
"6",305,"fieldNotes",NA,"","String","PctDry","PCT_DRS","StrmFlow",NA,"percent","percent","Categorical: Flow, No Flow, Other",NA,"Double","Double","String",NA,"www.monitoringresources.org/Document/Method/Details/7008","www.monitoringresources.org/Document/Method/Details/1610","www.monitoringresources.org/Document/Method/Details/924",NA,"www.monitoringresources.org/Document/Method/Details/7004","www.monitoringresources.org/Document/Method/Details/7018",NA,NA,"Event","The description of flow for the reach (flow, partial flow or dry).",NA,NA,NA,"Producer defined",NA,"y",NA,"Description of the flow was not included or reported in the source dataset.","Flow (Whole Reach)","Darwin Core","fieldNotes is a field with data type string for this implementation of the data exchange standard fieldNotes is filled in with the streamflow at the time of the sampling event. Some datasets share flow as percent dry an integer, while others share streamflow as a string. For the integrated dataset, transform all stream flows string categorized as ""No Flow (Dry)"", ""Flow (Whole Reach)"", ""Other"". For programs reporting streamflow as percent dry, we transformed the data such that: 
•	0 = Flow (Whole Reach)  
•	100 = No Flow (Dry) 
•	Other = All other values
We transformed the data in inverse for programs that report the percent of the reach with the flow."
"7",100,"datasetID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","A unique identifier assigned to the originating source data's program.",NA,NA,NA,"Producer defined",NA,"y",NA,NA,"2; 4","Darwin Core","datasetID is a unique identifiers integer generated when the datasets are combined into the single dataset"
"8",101,"bibilographicCitation",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used.",NA,NA,NA,"Producer defined","Unbounded list of alphanumeric text",NA,"blank cell","There is no formal citation for this dataset.",NA,"Darwin Core",""
"9",102,"datasetLink",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","A URL identifier for the collection or dataset from which the record was derived. The source location for the originating source data or program website.",NA,NA,NA,"Producer defined","Unbounded list of alphanumeric text",NA,NA,"No URL is available to access the dataset directly.","https://www.epa.gov/national-aquatic-resource-surveys","Producer defined",""
"10",103,"datasetName",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","The name of the originating data set from which the record was derived.",NA,NA,NA,"Producer defined","Unbounded list of text",NA,NA,"There is no singular name assigned to the source dataset","EPA NARS 2018 Rivers and Streams dataset","Darwin Core",""
"11",104,"institutionCode",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.",NA,NA,NA,"Producer defined",NA,"y",NA,NA,"BLM; EPA; USFS","Darwin Core",""
"12",105,"metadataID",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","A URL identifier for the metadata for the originating source dataset or note how to access metadata.",NA,NA,NA,"Producer defined","Unbounded list of alphanumeric text",NA,NA,NA,NA,"ODM2",""
"13",106,"preProcessingCode",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","URL identifier for access to the code used to pre-process (download, standardize and tidy) the data sets before integration into the destination dataset.",NA,NA,NA,"Producer defined","Unbounded list of alphanumeric text",NA,"blank cell","Pre-processing code was not used for this dataset.",NA,"Producer defined",""
"14",107,"projectCode",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","The acronym of the name assigned by the Institution (project leader or principal investigator) to the project, from which the source data originates from.",NA,NA,NA,"Producer defined",NA,"y",NA,NA,"PIBO; AIM","Producer defined",""
"15",108,"projectName",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","The name assigned by the Institution (project leader or principal investigator) to the project, from which the source data originates from.",NA,NA,NA,"Producer defined","Unbounded list of text",NA,NA,NA,"USFS PacFish/InFish Biological Opinion Monitoring Program","ODM2",""
"16",100,"datasetID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location","A unique numeric identifier assigned to the originating source data's program.",NA,NA,NA,"Producer defined",NA,"y",NA,NA,"2; 4",NA,""
"17",200,"locationID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location","Unique global identifier assigned to the location where the event occurred.",1,11584,NA,"Producer defined",NA,NA,NA,NA,"3145; 6688","Darwin Core","locationID is a unique identifiers integer generated when the datasets are combined into a single dataset"
"18",202,"latitude",NA,NA,"Float",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location","The geographic latitude (WGS84) of the geographic center of a location.",26.625,71.2686,"decimal degrees","Producer defined",NA,NA,NA,NA,"38.456141","Darwin Core","All latitude and longitudes need to be in the coordinate reference system is World Geodetic System 1984 (WGS84), not projected."
"19",203,"longitude",NA,NA,"Float",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location","The geographic longitude (WGS84) of the geographic center of a location.",-163.742308,-67.2406,"decimal degrees","Producer defined",NA,NA,NA,NA,"-106.994586","Darwin Core","All latitude and longitudes need to be in the coordinate reference system is World Geodetic System 1984 (WGS84), not projected."
"20",204,"locationRemarks",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location","The location along the reach where geographic coordinates were obtained.",NA,NA,NA,"Producer defined",NA,"y",NA,NA,NA,"Darwin Core",""
"21",200,"locationID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Event","Unique global identifier assigned to the location where the event occurred.",1,11585,NA,"Producer defined",NA,NA,NA,NA,"3145; 6688",NA,""
"22",300,"eventID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Event","Global unique identifier assigned to an Event (something that occurs at a place and time, such as a survey or measurement).",1,16280,NA,"Producer defined",NA,NA,NA,NA,"16280; 9347","Darwin Core","eventID is a unique identifiers integer generated when the datasets are combined into a single dataset"
"23",304,"samplingProtocol",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Event","The name of, reference to, or description of the stream survey method or protocol used during an Event.",NA,NA,NA,"Producer defined",NA,"y",NA,"Sampling Protocol was not included or reported in the source dataset.","Wadeable","Darwin Core",""
"24",306,"beaverImpactFlow",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Event","Beaver impact on the flow of the reach.",NA,NA,NA,"Producer defined",NA,"y",NA,"Beaver impacts were not reported in the source data.","Yes; No","Producer defined","NA = Beaver impacts were not reported in the source data, Yes = Beaver have changed the flow in the reach, No = Beaver have not changed the flow of the reach"
"25",303,"year",NA,NA,"Date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Event","The four-digit year in which the event occurred.",2000,2020,"calendar year (yyyy)","Producer defined",NA,NA,NA,NA,"2008","Darwin Core",""
"26",300,"eventID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MeasurementOrFact","Global unique identifier assigned to an Event (something that occurs at a place and time, such as a survey or measurement).",1,16280,NA,"Producer defined",NA,NA,NA,NA,"16280; 9347","Darwin Core",""
"27",400,"measurementID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MeasurementOrFact","Unique identifier assigned to the measurementValue.",1,198891,NA,"Producer defined",NA,NA,NA,NA,"2; 96888","Darwin Core","measurementID is a unique identifier integer generated when the datasets are combined into the single datasets."
"28",403,"measurementType",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MeasurementOrFact","The variable, name or type of measurement for which the value is reported in measurementValue. Definitions are in the MetricControlledVocabulary.",NA,NA,NA,"Producer defined",NA,"y",NA,NA,"Grad; WetWidth; ReachLen","Darwin Core",""
"29",401,"measurmentTypeID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MeasurementOrFact","Unique identifier assigned to the measurementType.",NA,NA,NA,"Producer defined",NA,"y",NA,NA,"514",NA,""
"30",403,"measurementValue",NA,NA,"Float",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MeasurementOrFact","The value of the measurementType attribute measured in units given in the measurementType attribute definition and in the MetricControlledVocabulary.",NA,NA,NA,"Producer defined","Unbounded list of numbers",NA,NA,NA,"1.23; 21.56","Darwin Core",""
