"entity.x","attribute.x","measurementType","description","sourcedefinition.x","units.x","minimumPossibleValue.x","maximumPossibleValue.x","entity.y","attribute.y","enumerateddomain","enumerateddefinition","sourcedefinition.y","units.y","minimumPossibleValue.y","maximumPossibleValue.y","dataType","term","termID"
"MetricControlledVocabulary","measurementType","StreamOrder","Strahler stream order of the site from the provider dataset (unit: none).","Producer defined","NA",1,12,"MetricControlledVocabulary","measurementTypeID","501","A unique numeric identifier assigned to the measurementType StreamOrder.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","AvgBFWDRatio","Average bankfull width depth ratio for the reach (unit: meters).","Producer defined","meters",0,NA,"MetricControlledVocabulary","measurementTypeID","502","A unique numeric identifier assigned to the measurementType AvgBFWDRatio.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","BFHeight","Average bankfull height measured from water surface across transects (unit: meters).","Producer defined","meters",NA,NA,"MetricControlledVocabulary","measurementTypeID","503","A unique numeric identifier assigned to the measurementType BFHeight.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","BFWidth","Average bankfull width across transects for the reach (unit: meters).","Producer defined","meters",NA,NA,"MetricControlledVocabulary","measurementTypeID","504","A unique numeric identifier assigned to the measurementType BFWidth.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","countTransectsBFWidth","Number of cross sections included in the average bankfull width calculation (units: count of measurements)","Producer defined","count of measurments",NA,NA,"MetricControlledVocabulary","measurementTypeID","505","A unique numeric identifier assigned to the measurementType countTransectsBFWidth.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","Grad","Mean slope of water surface from the bottom of the reach to the top of the reach (expressed as percent, unit: none).","Producer defined","percent",0,100,"MetricControlledVocabulary","measurementTypeID","506","A unique numeric identifier assigned to the measurementType Grad.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","MeanThalwegDepth","Mean thalweg depth. Metric of how deep the water was at the site (unit: meters).","Producer defined","meters",NA,NA,"MetricControlledVocabulary","measurementTypeID","507","A unique numeric identifier assigned to the measurementType MeanThalwegDepth.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","ReachLen","Length of sampling reach measured along the thalweg (unit: meters).","Producer defined","meters",NA,NA,"MetricControlledVocabulary","measurementTypeID","508","A unique numeric identifier assigned to the measurementType ReachLen.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","WetWidth","Average wetted width across transects (unit: meters).","Producer defined","meters",NA,NA,"MetricControlledVocabulary","measurementTypeID","509","A unique numeric identifier assigned to the measurementType WetWidth.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","PctPool","Percent of the sample reach (linear extent) classified as pool habitat (expressed as a percent, unit: none, min: 0, max: 100).","Producer defined","percent",0,100,"MetricControlledVocabulary","measurementTypeID","510","A unique numeric identifier assigned to the measurementType PctPool.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","RPD","Average of the residual pool depth values for all pools in a reach. Residual pool depth the difference of the pool tail depth from the max depth (unit: meters).","Producer defined","meters",NA,NA,"MetricControlledVocabulary","measurementTypeID","511","A unique numeric identifier assigned to the measurementType RPD.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","BankAngle","Measured angle of the stream bank (unit: degrees).","Producer defined","degrees",NA,NA,"MetricControlledVocabulary","measurementTypeID","512","A unique numeric identifier assigned to the measurementType BankAngle.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","PctStab","Percent of 42 banks lacking visible signs of active erosion (e.g., slump, slough, fracture) expressed as a percent (unit: none, min: 0, max: 100).","Producer defined","percent",NA,NA,"MetricControlledVocabulary","measurementTypeID","513","A unique numeric identifier assigned to the measurementType PctStab.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","D16","Bed surface particle size corresponding to the 16th percentile of measured particles (unit: millimeters).","Producer defined","millimeters",0,4098,"MetricControlledVocabulary","measurementTypeID","514","A unique numeric identifier assigned to the measurementType D16.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","D50","Median diameter of bed surface particle size corresponding to the areal median (50th percentile of measured particles) (unit: millimeters).","Producer defined","millimeters",0,4098,"MetricControlledVocabulary","measurementTypeID","515","A unique numeric identifier assigned to the measurementType D50.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","D84","Bed surface particle size corresponding to the 84th percentile of measured particles (unit: millimeters).","Producer defined","millimeters",0,4098,"MetricControlledVocabulary","measurementTypeID","516","A unique numeric identifier assigned to the measurementType D84.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","PctBdrk","Percent of the stream bed area that is composed of particles with a b axis greater than 4098 millimeters (expressed as percent, units: none, min: 0, max: 100).","Producer defined","percent",0,100,"MetricControlledVocabulary","measurementTypeID","517","A unique numeric identifier assigned to the measurementType PctBdrk.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","PctFines2","Percent of the stream bed area that is comprised of particles with a b axis less than 2 millimeters (expressed as percent, units: none, min: 0, max: 100).","Producer defined","percent",0,100,"MetricControlledVocabulary","measurementTypeID","518","A unique numeric identifier assigned to the measurementType PctFines2.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","PctFines6","Average percent fine sediment (less than 6 millimeters) on the pool tail (expressed as a percent, unit: none, min: 0, max: 100).","Producer defined","percent",0,100,"MetricControlledVocabulary","measurementTypeID","519","A unique numeric identifier assigned to the measurementType PctFines6.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","PoolTailFines2","Average percent fine sediment (less than 2 millimeters) on the pool tail (expressed as percent, unit: none).","Producer defined","percent",0,100,"MetricControlledVocabulary","measurementTypeID","520","A unique numeric identifier assigned to the measurementType PoolTailFines2.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","PoolTailFines6","Average percent fine sediment (less than 6 millimeters) on the pool tail (expressed as a percent, unit: none).","Producer defined","percent",0,100,"MetricControlledVocabulary","measurementTypeID","522","A unique numeric identifier assigned to the measurementType PoolTailFines6.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","Conductivity","Measure of the concentration of ionized materials in water, or the ability of water to conduct electrical current. Used as a measure of mineral / ionic concentration (unit: ppm or parts per million).","Producer defined","parts per million",NA,NA,"MetricControlledVocabulary","measurementTypeID","523","A unique numeric identifier assigned to the measurementType Conductivity.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","pH","Measured pH value (unit: none, min: 0, max:14).","Producer defined","NA",0,14,"MetricControlledVocabulary","measurementTypeID","524","A unique numeric identifier assigned to the measurementType pH.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","SpecificConductance","Measured specific conductance value. The specific conductance is conductivity standardized to 25 degrees C (unit: uS/cm or microSiemens per centimeter).","Producer defined","uS/cm",NA,NA,"MetricControlledVocabulary","measurementTypeID","525","A unique numeric identifier assigned to the measurementType SpecificConductance.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","TotalNitrogen","Measured total nitrogen value (unit: ug/L or micrograms per liter).","Producer defined","ug/L",NA,NA,"MetricControlledVocabulary","measurementTypeID","526","A unique numeric identifier assigned to the measurementType TotalNitrogen.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","TotalPhosphorous","Measured total phosphorous value (unit: ug/L or micrograms per liter).","Producer defined","ug/L",NA,NA,"MetricControlledVocabulary","measurementTypeID","527","A unique numeric identifier assigned to the measurementType TotalPhosphorous.","Producer defined",NA,NA,NA,"Numeric","term","401"
"MetricControlledVocabulary","measurementType","Turbidity","Average water clarity as measured by the suspended solids in the water column (unit: NTU or Nephelometric Turbidity unit)","Producer defined","NTU",NA,NA,"MetricControlledVocabulary","measurementTypeID","528","A unique numeric identifier assigned to the measurementType Turbidity.","Producer defined",NA,NA,NA,"Numeric","term","401"
NA,NA,"A unique numeric identifier assigned to measurementType Sin",NA,NA,NA,NA,NA,"MetricControlledVocabulary","measurementTypeID","500","A unique numeric identifier assigned to measurementType Sin.","Producer defined",NA,NA,NA,"Numeric","term","401"
